plant_id,genotype,time_days,treatment,replicate,cycle,phase,water_potential,stomatal_conductance
S_C_1,Sensitive,0,Control,1,1,PreDrought,-0.8962410597449345,0.3091306770429059
S_C_1,Sensitive,1,Control,1,1,PreDrought,-0.8946836602506407,0.2966673743583365
S_C_1,Sensitive,2,Control,1,1,PreDrought,-0.8435930923485659,0.29826507797794505
S_C_1,Sensitive,3,Control,1,1,PreDrought,-0.8457250186010934,0.3312390087916763
S_C_1,Sensitive,4,Control,1,1,PreDrought,-0.925087881447536,0.31432044756577754
S_C_1,Sensitive,5,Control,1,1,Drought,-0.9025810104734396,0.3137186005573491
S_C_1,Sensitive,6,Control,1,1,Drought,-0.879756741822568,0.3197645935977705
S_C_1,Sensitive,7,Control,1,1,Drought,-0.8524268096830472,0.3164052974793611
S_C_1,Sensitive,8,Control,1,1,Drought,-0.8344678062219534,0.3447665865528912
S_C_1,Sensitive,9,Control,1,1,Drought,-0.8940878913275428,0.33180520491314563
S_C_1,Sensitive,10,Control,1,1,Drought,-0.7897826500666216,0.355785555908333
S_C_1,Sensitive,11,Control,1,1,Rewatering,-0.837746316191206,0.34905790572096723
S_C_1,Sensitive,12,Control,1,1,Rewatering,-0.9557735581513885,0.31771358171997355
S_C_1,Sensitive,13,Control,1,1,Rewatering,-0.8384565411468482,0.33849459099733276
S_C_1,Sensitive,14,Control,1,1,Rewatering,-0.9026922695610974,0.31110593277169424
S_C_1,Sensitive,15,Control,1,1,Rewatering,-0.9123516735193009,0.30826062900759643
S_C_1,Sensitive,16,Control,1,1,PostDrought,-0.8587392063513365,0.3125174109813992
S_C_1,Sensitive,17,Control,1,1,PostDrought,-0.8725689337199279,0.3102332248150605
S_C_1,Sensitive,18,Control,1,1,PostDrought,-0.7895359728216329,0.3222331335523879
S_C_1,Sensitive,19,Control,1,1,PostDrought,-0.8571948207498781,0.3158629376779674
S_C_1,Sensitive,20,Control,1,1,PostDrought,-0.9572194863578483,0.3138219797945157
S_C_1,Sensitive,21,Control,1,2,PreDrought,-0.8790213089553063,0.285082357514888
S_C_1,Sensitive,22,Control,1,2,PreDrought,-0.968660927374066,0.3101177269124147
S_C_1,Sensitive,23,Control,1,2,PreDrought,-0.9871136910266958,0.30230859837641216
S_C_1,Sensitive,24,Control,1,2,PreDrought,-0.924328259083953,0.2955604368657906
S_C_1,Sensitive,25,Control,1,2,Drought,-0.9058119713285261,0.3209746824430274
S_C_1,Sensitive,26,Control,1,2,Drought,-0.8542489381316234,0.2941666888227032
S_C_1,Sensitive,27,Control,1,2,Drought,-1.0525513322240103,0.31090158606295465
S_C_1,Sensitive,28,Control,1,2,Drought,-1.0052570595972015,0.30364810831492867
S_C_1,Sensitive,29,Control,1,2,Drought,-0.9962284599487342,0.29891745696088906
S_C_1,Sensitive,30,Control,1,2,Drought,-0.9057177517449457,0.33166495160726467
